,date,username,tweet
0,2023-05-30 23:59:46+00:00,oechups,"RT @PartaiSocmed: Cawe-cawe yang dimaksud, menurut Jokowi, tentu masih dalam koridor aturan dan tidak akan melanggar undang-undang. 

*kare…"
1,2023-05-30 23:59:44+00:00,AdeSaung,"@ReflyHZ @YouTube Resmi!!! Presiden Joko Widodo  cawe cawe, katanya sih cawe cawe nya dipake meng endors Prabowo bukan Ganjar. Kenapa gak sekalian saja ya, presiden memberdayakan kembali tukang survey Qodari meng endors dirinya?
Jika Jokowi ikut lagi kontestasi Pilpres 2024 , siapa pilihan anda?"
2,2023-05-30 23:59:43+00:00,CHaendrajit,"RT @kurusetra91: Jokowi yth, ap tdk lbh bgus anda ntral, biarkan rakyat yg mmilih ssuai keinginan mrk ?! anda ktakutan sndri ats dosa, ksal…"
3,2023-05-30 23:59:35+00:00,Minionscupacu,"RT @KompasTV: Denny Indrayana: Anies Akan Gagal Maju di Pilpres 2024, Bila MA Menangkan PK Moeldoko ke Demokrat https://t.co/EtJRN6pb60"
4,2023-05-30 23:59:26+00:00,AntonJogjaEtnik,"RT @KakekHalal: LSI: Jokowi Ingin Ganjar-Prabowo 
di Pilpres 2024

Presiden RI Joko Widodo (Jokowi) disebut-sebut ingin menduetkan Ganjar P…"
5,2023-05-30 23:59:26+00:00,URabelli2,RT @Yurissa_Samosir: Tanggapan Pak Anies Baswedan tentang Pak @jokowi ngotot dan tetap Cawe-Cawe Pilpres....Masih ada lanjutan Vidio ini di…
6,2023-05-30 23:59:24+00:00,DewaSudana9,"@tifsembiring Ini paling ada hubunganx dg pilpres Indonesia 2024 nanti dmn eliktabilitas Mas Anies dlm survey itu turun dibandingkan dg kandidat lain, tpi blm t3nty kalah nanti dlm pemilu kan ??
Mantaaaap jiwa!!
Tapi spa gk tw klo bola itu bundar ???"
7,2023-05-30 23:59:12+00:00,NdaraKaji,"RT @PartaiSocmed: Cawe-cawe yang dimaksud, menurut Jokowi, tentu masih dalam koridor aturan dan tidak akan melanggar undang-undang. 

*kare…"
8,2023-05-30 23:59:08+00:00,kangir18,"RT @dennyindrayana: https://t.co/t0h9Vo1eUD 

Saya terhormat diwawancara (lagi) oleh dua legend ini, Mas BW (@KataBewe) dan Mas Novel (@naz…"
9,2023-05-30 23:58:58+00:00,JenJezen292,"RT @hc_poirot: anies tidak kaget dgn pernyataan jokowi yg ikut cawe² dlm proses pilpres, karena pada hakekatnya anies sudah merasakan penje…"
10,2023-05-30 23:58:57+00:00,ArioNara,"RT @AndiSinulingga: 2014 kita dukung Jokowi mah biasa aja, tak ada yg krusial, itu game biasa saja. Rakyat sudah beri kepercayaan 2 kali, y…"
11,2023-05-30 23:58:55+00:00,feltfelx,"RT @PartaiSocmed: Cawe-cawe yang dimaksud, menurut Jokowi, tentu masih dalam koridor aturan dan tidak akan melanggar undang-undang. 

*kare…"
12,2023-05-30 23:58:35+00:00,PituluikPatah,"RT @marlina_idha: Denny Indrayana: Anies Akan Gagal Maju di Pilpres 2024, Bila MA Menangkan PK Moeldoko ke Demokrat

Segala cara!🙄 https://…"
13,2023-05-30 23:58:11+00:00,LubisLu37148510,"RT @hc_poirot: anies tidak kaget dgn pernyataan jokowi yg ikut cawe² dlm proses pilpres, karena pada hakekatnya anies sudah merasakan penje…"
14,2023-05-30 23:57:52+00:00,misacavoex,"RT @Yurissa_Samosir: Presiden @jokowi Cawe-Cawe Pilpres,  Bapak Anies Baswedan Fokus Bekerja Bareng Koalisi Perubahan https://t.co/SAYopX4w…"
15,2023-05-30 23:57:41+00:00,02fc71ba00c2451,"RT @kurusetra91: Jokowi yth, ap tdk lbh bgus anda ntral, biarkan rakyat yg mmilih ssuai keinginan mrk ?! anda ktakutan sndri ats dosa, ksal…"
16,2023-05-30 23:57:33+00:00,didiprasojo77,"RT @kurusetra91: Jokowi yth, ap tdk lbh bgus anda ntral, biarkan rakyat yg mmilih ssuai keinginan mrk ?! anda ktakutan sndri ats dosa, ksal…"
17,2023-05-30 23:57:28+00:00,giginpraginanto,Salah satu kekhasannya paling menonjol adalah tidak pernah netral dan suka berbicara kebalikannya. https://t.co/nhc7tH7fzY
