,date,username,tweet
0,2023-05-30 23:59:44+00:00,AdeSaung,resmi presiden joko widodo cawe cawe sih cawe cawe dipake meng endors prabowo bu
1,2023-05-30 23:59:24+00:00,DewaSudana9,hubunganx dg pilpres indonesia dmn eliktabilitas mas anies dlm survey
2,2023-05-30 23:53:44+00:00,maha_sakti,jokowi head to head dg sby pilpres demokrat aja
3,2023-05-30 23:52:00+00:00,fadyahrismaaul,elite golkar bicara kans duet prabowoairlangga pilpres pilpres dekade mendingprabowo terusmajubersamaprabowo
4,2023-05-30 23:48:29+00:00,WiyonoHw,juang arah yg pilpres yg jurdil
6,2023-05-30 23:33:51+00:00,Irawan15758608,ngaco panik cebong kurap liat anis tingkat sembur caci maki
7,2023-05-30 23:25:17+00:00,Ijoroyo21,ribu anies ribu surya paloh alloh swt gak
8,2023-05-30 23:19:01+00:00,dinodachi03,rt suara gk putus harap kekhawatirankhawatiran
9,2023-05-30 23:12:03+00:00,hezmaan,pantesan anies menang jakarta
10,2023-05-30 22:59:50+00:00,MalikAbdul30041,utk capres thn kader gerindra puji puja lawan debat pilpres tp kam
11,2023-05-30 22:59:13+00:00,BudiSps,pilpres catat prabowo menang mutlak
12,2023-05-30 22:54:32+00:00,iromismet,rt malam influencer yg kenal republik tentan
13,2023-05-30 22:51:13+00:00,ADANGSUGANDA11,pa anies baswedan aneh kalah survei pilkada dki beliau kalah survei menang pilkada dki pilpres
14,2023-05-30 22:49:49+00:00,Hasanbasri_RA,rakyat measumsi politik yg takut luwar ka
15,2023-05-30 22:49:14+00:00,syarifntoke,cawe pilpres ngatur mk ngatur ma hasil pasang calon pd pilpres
16,2023-05-30 22:47:40+00:00,idaYATI78661703,rt hii tweps mari polling okeykalau pilpres capres pilihsetelah vote
17,2023-05-30 22:45:10+00:00,HendarwatiH,pakde tolong pilih prabowo jejak digital waktu pilpres lupa apap
19,2023-05-30 22:37:26+00:00,Hanwen98780070,strategi politik moles citra gibran diploting lantik walikota solo
20,2023-05-30 22:32:42+00:00,RanggaSayhan,rt hii tweps mari kite polling yak andaikata pilpres calon pilih vote jan
21,2023-05-30 22:27:32+00:00,y_yumnan,ketipak ketipung suara puji talu talu mahfud gagal cawapres pilpres yg
23,2023-05-30 22:12:00+00:00,tubanesse_man,tim prabowo ga pede ngadepin pilpres bawa presiden keluarga takut prabowo
24,2023-05-30 21:49:31+00:00,Wisnuprdt_,betapa bebas jokowi lengser presiden nikmat helat pilpres beliau
25,2023-05-30 21:39:23+00:00,Thoyib83928012,gassssingat rawan kpu bawaslu rezim musuh pilkada pilpres so wajib
26,2023-05-30 21:36:24+00:00,SoumokilWillem,beda ahok pilkada dki isu agama jusuf kalla jelang pilpres isu ras
27,2023-05-30 21:33:18+00:00,Yedi_ExTKI,takut banget sih jago capresnya kalah pilpres sampe campur urus copras capres
28,2023-05-30 21:16:22+00:00,lip_family,indonesiapilpres kardus gembok presiden prabowotp napa jokowi yg jabat
29,2023-05-30 20:58:35+00:00,Yedi_ExTKI,klo gak takut jago capresnya kalah pilpres gak campur urus copras cap
31,2023-05-30 19:56:10+00:00,driveronline_17,covid dr china strain galur murni past
32,2023-05-30 19:38:25+00:00,HILARlO,prabowomuhaimin menang pilpres bukti bangsa kalo bangsa maaf bangsa lupa
33,2023-05-30 19:21:51+00:00,_gpamungkass,jerry respons prabowo duet airlangga pilpres pilpres dekad
34,2023-05-30 19:16:02+00:00,alesson2014,rt ganjar adlh pilih yg nasionalis rasionalisasi tolak
36,2023-05-30 19:09:54+00:00,ikblrmdhn4,calon partai gera indonesia raya maju pilpres
37,2023-05-30 19:02:33+00:00,indaniaa_,rekam jejak pilpres prabowo kenal angkat ekonomi rakyat pilpres dekade mendingprabowo terusmajubersamaprabowo
38,2023-05-30 18:58:33+00:00,josephrizal810,ganjar atuhhhh yg radikal yg langgan kalah pilpres tdk ngaku kalah inget mei
39,2023-05-30 18:54:45+00:00,syafaulll_,firman soebagyo menep airlangga hartarto cawapres prabowo subianto pilpres
40,2023-05-30 18:52:32+00:00,neifandino,jerry respons prabowo subianto duet airlangga pilpres pilpres
42,2023-05-30 18:46:06+00:00,B_Hendratmo1,keren beut wey moga berkah menang pilpres bp prabowo subianto
43,2023-05-30 18:45:58+00:00,ApreliHeni,wih elite golkar bahas duet prabowoairlangga pilpres pilpres dekade mendingprabowo terusmajubersamaprabowo
45,2023-05-30 18:34:18+00:00,DeaYunit_,prabowo ejek gak menang pilpres prajurit didik pantang serah pilpres
