,date,username,tweet
0,2023-05-30 23:59:44+00:00,AdeSaung,"@ReflyHZ @YouTube Resmi!!! Presiden Joko Widodo  cawe cawe, katanya sih cawe cawe nya dipake meng endors Prabowo bukan Ganjar. Kenapa gak sekalian saja ya, presiden memberdayakan kembali tukang survey Qodari meng endors dirinya?
Jika Jokowi ikut lagi kontestasi Pilpres 2024 , siapa pilihan anda?"
1,2023-05-30 23:59:24+00:00,DewaSudana9,"@tifsembiring Ini paling ada hubunganx dg pilpres Indonesia 2024 nanti dmn eliktabilitas Mas Anies dlm survey itu turun dibandingkan dg kandidat lain, tpi blm t3nty kalah nanti dlm pemilu kan ??
Mantaaaap jiwa!!
Tapi spa gk tw klo bola itu bundar ???"
2,2023-05-30 23:53:44+00:00,maha_sakti,"@PDemokrat Sepertinya pak jokowi head to head dg pak sby di pilpres 2024, demokrat bisa aja"
3,2023-05-30 23:52:00+00:00,fadyahrismaaul,Elite Golkar Bicara Kans Duet Prabowo-Airlangga di Pilpres 2024. pilpres2024 dekade08 mendingprabowo terusmajubersamaprabowo
4,2023-05-30 23:48:29+00:00,WiyonoHw,@dennyindrayana @KataBewe @nazaqistsha Teruslah perjuangkan  arah yg benar menuju  pilpres yg jurdil di 2024.  Satukan kekuatan dg tokoh nasional.
5,2023-05-30 23:33:51+00:00,Irawan15758608,"@KakekHalal Makin ngaco dan makin panik para cebong kurap liat Anis, makin ditingkatkan semburan caci maki kepada Anis🤤🤣🤣🤣 maklum bakul nasi mereka akan segera tutup setelah pilpres 2024"
6,2023-05-30 23:25:17+00:00,Ijoroyo21,"@BosPurwa @PartaiSocmed Mau ada seribu Anies atau seribu Surya Paloh dibelakangmu kalau Alloh SWT gak berkehendak, gak akan kau jadi Presiden.
Kalau ngomongin jasa, bagaimana dg para Ulama dan kyai  yg tiap Pilpres selalu kalian dekati. Politik itu transaksi kepentingan gak perlu ngomogin jasa."
7,2023-05-30 23:19:01+00:00,dinodachi03,"RT @qentrunx: @Mdy_Asmara1701 Suaranya gk jelas putus² 😌
 ""Kami berharap kekhawatiran-khawatiran yang tadi diungkapkan tidak benar. Itu ada…"
8,2023-05-30 23:12:03+00:00,hezmaan,"@budiawandki @vit_sapipa @notrespawn @QuartyRudiq @denismalhotra Pantesan pak Anies menang di jakarta ya, soalnya rakyat mayoritas masih suka dikasih pencitraan, gimmick, dan polesan luar. Bisa jadi kalau rakyat masih kayak gini aja pak Anies menang pilpres juga nih"
9,2023-05-30 22:59:50+00:00,MalikAbdul30041,"@tvOneNews Utk persiapan Capres Thn 2024,,para kader2 Gerindra memuji memuja LAWAN DEBAT PilPres 2019...tp para kami pendukung diakar rumput.. hingga saah ini blm mampu melupakannya..apapun alasan Bpk PS dlm meredam kekecawaan pemilih..tetap blm mampu..
Kami ingin mendgr pendpt Fadli Zoon.."
10,2023-05-30 22:59:13+00:00,BudiSps,@tifsembiring Pilpres'24.....anda catat..PRABOWO menang mutlak
11,2023-05-30 22:54:32+00:00,iromismet,"RT @Pt0nks1matupang: @__AnakKolong @gibran_tweet Semalam, seorang influencer yg cukup dikenal di republik ini, bertanya kepada saya, tentan…"
12,2023-05-30 22:51:13+00:00,ADANGSUGANDA11,"@tifsembiring Pa Anies Baswedan tidak aneh kalah disurvei, pilkada DKI beliau kalah disurvei menang di pilkada DKI, sama dengan pilpres 2024"
13,2023-05-30 22:49:49+00:00,Hb_Atim,"@mohmahfudmd Pak @mohmahfudmd Sebagai rakyat boleh ya measumsi Politik, bahwa ada pihak yg ketakutan luwar biasa karna sadar mereka akn kalah di Pilpres 2024 makanya ingin menentukan kekuatannya di @DPR_RI sesuai keinginan ketua Partai untuk mempengaruhi berbagai macam produk UU &amp; Kebijakan."
14,2023-05-30 22:49:14+00:00,syarifntoke,"Cawe2 Pilpres itu buat ngatur MK, Ngatur MA. Hasilnya cuma dua pasangan calon pd  Pilpres 2024"
15,2023-05-30 22:47:40+00:00,idaYATI78661703,"RT @PutraErlangga95: Hii tweps mari kita polling lagi okey,
Kalau Pilpres 2024 ada Tiga Capres maka anda akan pilih?

Setelah vote jangan l…"
16,2023-05-30 22:45:10+00:00,HendarwatiH,@Leonita_Lestari Pakde tolong jangan pilih Prabowo jejak digitalnya waktu pilpres 2019 jangan pernah dilupakan apapun dia lakukan buat menang
17,2023-05-30 22:39:58+00:00,HendarwatiH,"RT @Pt0nks1matupang: @__AnakKolong @gibran_tweet Semalam, seorang influencer yg cukup dikenal di republik ini, bertanya kepada saya, tentan…"
18,2023-05-30 22:37:26+00:00,Hanwen98780070,"@hc_poirot Strategi politik memoles citra Gibran memang sudah diploting sejak pelantikan menjadi walikota Solo 2021 untuk tujuan Jurkam Pilpres 2024.

Itu sebabnya upaya eksplorasi simpati bagi Gibran didukung tidak hanya lewat pemerintah pusat bagi pembangunan kota Solo,"
19,2023-05-30 22:32:42+00:00,RanggaSayhan,"RT @PutraErlangga95: Hii tweps, mari kite polling lagi yak 😊
Andaikata Pilpres 2024 ada 3 Calon maka Anda akan pilih? 🤔

Setelah vote jan l…"
20,2023-05-30 22:27:32+00:00,y_yumnan,"@democrazymedia Pak ketipak ketipung suara pujian bertalu talu. 
Pak Mahfud gagal jadi Cawapres di Pilpres yg lalu.
Siapa tahu 2024 ingin kembali maju !"
21,2023-05-30 22:22:09+00:00,RiyantoBintan,"RT @PutraErlangga95: Hii tweps mari kita polling lagi okey,
Kalau Pilpres 2024 ada Tiga Capres maka anda akan pilih?

Setelah vote jangan l…"
22,2023-05-30 22:12:00+00:00,tubanesse_man,@Leonita_Lestari Tim Prabowo ga pede ngadepin pilpres. Kenapa harus bawa2 presiden dan keluarganya. Takut Prabowo kalah lagi shg harus catut nama/gambar Jokowi.
23,2023-05-30 21:49:31+00:00,Wisnuprdt_,"Betapa bebasnya pak Jokowi saat lengser sebagai presiden dan menikmati perhelatan pilpres 2024 nanti, dimana beliau sudah tidak terlibat kepentingan politik lagi"
24,2023-05-30 21:39:23+00:00,Thoyib83928012,"@abwnews_ Gassss
Ingat para relawan... 2024 KPU, Bawaslu, Rezim adalah musuh nyata pilkada, pilpres.. so wajib dan harus benar benar waspada para saksi, KPPS untuk menjaga diri kalian dari musibah apa yg terjadi di 2019....
Jangan makan dan minum dari orang orang yg tidak dikenal"
25,2023-05-30 21:36:24+00:00,SoumokilWillem,Apa bedanya Ahok di Pilkada DKI 2017 ( isu agama ) dengan Jusuf Kalla menjelang Pilpres 2024 ( isu rasis ) ???
26,2023-05-30 21:33:18+00:00,Yedi_ExTKI,@KompasTV Takut banget sih jagoan capresnya kalah di pilpres 2024 sampe harus ikut campur urusan copras capres segala.
27,2023-05-30 21:16:22+00:00,lip_family,"@tifsembiring Indonesia,Pilpres Kardus digembok.
2019-2024,itu Presidennya Prabowo,tp Napa bisa Jokowi yg menjabat.
#padamkanpdip"
28,2023-05-30 20:58:35+00:00,Yedi_ExTKI,@KompasTV Klo karena gak ketakutan jagoan capresnya akan kalah di pilpres ya gak akan ikut campur urusan copras capres segala. Akankah PEMILU 2024 bisa JURDIL ?
29,2023-05-30 20:24:05+00:00,fmrizal,"RT @PutraErlangga95: Hii tweps mari kita polling lagi okey,
Kalau Pilpres 2024 ada Tiga Capres maka anda akan pilih?

Setelah vote jangan l…"
30,2023-05-30 19:56:10+00:00,driveronline_17,@Tuti_embeeeeer @AntiPekines @DrEvaChaniago @Nurmantyo_Gatot Covid 19 bermula dr china. Strain galur murni C19 pasti ada di lab mikrobiologi china. Tinggal order tinggal request jenis C19 yg lbh mematikan maka pilpres ditiadakan krn pandemi C19 apalagi kalok strain C19 dibuat paten utk kaum manula @prabowo n Megawati urrrraaaa
31,2023-05-30 19:38:25+00:00,HILARlO,"@Opposite6B90 Jika Prabowo-Muhaimin menang Pilpres 2024, itu membuktikan bahwa bangsa ini kalo bukan bangsa pemaaf ya bangsa pelupa"
32,2023-05-30 19:26:11+00:00,diahmhran1,Firman Soebagyo tak menepis agar Airlangga Hartarto bisa menjadi bakal cawapres Prabowo Subianto di Pilpres 2024 mendatang. pilpres2024 dekade08 mendingprabowo terusmajubersamaprabowo
33,2023-05-30 19:16:02+00:00,alesson2014,"RT @josephrizal810: @PDI_Perjuangan @ganjarnesia Ganjar adlh satunya pilihan bagi kita yg nasionalis dan rasionalisasi, sebab kita menolak…"
34,2023-05-30 19:12:41+00:00,ANWARZ43N,"RT @PutraErlangga95: Hii tweps mari kita polling lagi okey,
Kalau Pilpres 2024 ada Tiga Capres maka anda akan pilih?

Setelah vote jangan l…"
35,2023-05-30 18:58:33+00:00,josephrizal810,@IMCMushroom Ganjar atuhhhh yg satu radikal yg satu langganan kalah pilpres dan tdk mau ngaku kalah inget 22 mei 2019
36,2023-05-30 18:54:45+00:00,syafaulll_,Firman Soebagyo tak menepis agar Airlangga Hartarto bisa menjadi bakal cawapres Prabowo Subianto di Pilpres 2024. pilpres2024 dekade08 mendingprabowo terusmajubersamaprabowo
37,2023-05-30 18:52:32+00:00,neifandino,Jerry juga merespons soal kemungkinan Prabowo Subianto yang akan berduet dengan Airlangga di Pilpres 2024. pilpres2024 dekade08 mendingprabowo terusmajubersamaprabowo
38,2023-05-30 18:51:57+00:00,neurellia,Elite Golkar Bicara Kans Duet Prabowo-Airlangga di Pilpres 2024. pilpres2024 dekade08 mendingprabowo terusmajubersamaprabowo
39,2023-05-30 18:46:06+00:00,B_Hendratmo1,"@Chaves1305 Keren beut wey 🤣👍👍

Semoga berkah MENANG Pilpres Bp Prabowo Subianto 🙏🇮🇩👍"
40,2023-05-30 18:34:18+00:00,DeaYunit_,Jawaban Prabowo Ketika Diejek Gak Pernah Menang di Pilpres: Prajurit Dididik Untuk Tidak Pantang Menyerah!. pilpres2024 dekade08 mendingprabowo terusmajubersamaprabowo
